識別碼,新聞標題,新聞分類,發布日期,新聞前言,新聞連結,來源媒體,來源媒體連結,資料更新時間,folder
news_f263da534b21f7bd7e88c1af2be394de,納坦雅胡訪美出席國會演說　將會見拜登、川普,國際新聞,2024-07-24 03:36:00+00:00,以色列總理納坦雅胡22日抵達美國，預計將於當地時間24日在美國國會進行演說，並於25日前往白宮獲美國總統拜登接見，兩人的會面將在拜登召開退選記者會之後。同時，納坦雅胡也安排前往佛州海湖莊園會晤美國前總統川普，並與美國副總統賀錦麗會面。據悉，川普卸任後，曾批評納坦雅胡無法阻擋哈瑪斯入侵。,https://www.ettoday.net/news/20240724/2783462.htm,2011 ETtoday.net. All Rights Reserved.,https://www.ettoday.net,07/31/2024 12:19:37,國際新聞
news_c42f9945a1a0bfb490bcf55a9e699c15,納坦雅胡赴美演說感謝川拜　強調兩國同仇敵愾,國際新聞,2024-07-24 23:22:00+00:00,以色列總理納坦雅胡今天對美國國會發表演說，稱讚前總統川普支持以色列，感謝現任總統拜登努力營救遭哈瑪斯綁架的人質，並強調「我們的敵人就是你們的敵人」。,https://www.ettoday.net/news/20240725/2784070.htm,2011 ETtoday.net. All Rights Reserved.,https://www.ettoday.net,08/01/2024 12:18:11,國際新聞
news_eba08d8e471ac6e7b142a4daff75da06,拜登哭了！民主黨全代會感性告別　喊「我愛美國」力挺賀錦麗,國際新聞,2024-08-20 05:25:00+00:00,美國民主黨在當地19日晚間舉行全國代表大會（DNC），現任總統拜登也登台發表了長達1小時的演講，回顧自己總統任期內的重要成就，對副總統賀錦麗與其競選搭檔華茲表示強烈支持，並呼籲人們擊敗破壞民主的川普，投票給賀錦麗。,https://www.ettoday.net/news/20240820/2800855.htm,2011 ETtoday.net. All Rights Reserved.,https://www.ettoday.net,08/27/2024 12:20:39,國際新聞
news_e876d1ce362c72d18818f1a4fbb467f4,賀錦麗48小時連創2紀錄！　 美史上僅4位副總統帶職參選總統成功,國際新聞,2024-07-23 22:30:00+00:00,美國副總統賀錦麗（Kamala Harris）接棒拜登角逐民主黨總統候選人，在短短48小時內狂吸超過8000萬美元資金，並獲得黨內許多大佬支持，創下美國歷史上少有的紀錄。若她順利出線，並在11月的大選中擊敗川普獲勝，將在締造歷史；美國史上僅有4位現任副總統在競選總統中獲勝。,https://www.ettoday.net/news/20240724/2783349.htm,2011 ETtoday.net. All Rights Reserved.,https://www.ettoday.net,07/31/2024 12:19:37,國際新聞
news_b77f89d8487f131eb4c15991deb241a6,美國會選戰激烈　參眾兩院230多年來可能首度「雙雙變天」,國際新聞,2024-10-24 01:30:00+00:00,最新民調顯示，共和黨控制的聯邦眾議院及民主黨占多數的參議院在11月的選舉中可能雙雙變天，如果這種「奇觀」發生，將是230多年美國國會改選史上的首次。,https://www.ettoday.net/news/20241024/2841105.htm,2011 ETtoday.net. All Rights Reserved.,https://www.ettoday.net,10/31/2024 12:21:47,國際新聞
news_454722b34c645c6d03e70cddd88b7113,台中女大生騎車「2分鐘慘吞6罰單」　爸氣到砸毀機車！警方發聲了,地方新聞,2024-11-06 13:01:00+00:00,台中一名女大生在住家附近騎機車，因為未打方向燈，短短2分鐘被連續檢舉，警方開了6張罰單，每張1200元共罰7200元，家長一氣之下竟把機車砸毀，以免女兒又違規。對此市議員江和樹認為，違規不對，但非以檢舉之名行報復之時，根本是惡意檢舉，警方也做出回應了。,https://www.ettoday.net/news/20241106/2849989.htm,2011 ETtoday.net. All Rights Reserved.,https://www.ettoday.net,11/13/2024 12:19:02,地方新聞
news_eff22eebc8803094a59a349ce356eb03,狙擊手待命、設圍欄！陸保守關注美投票氛圍　學者無奈誰勝都一樣,大陸新聞,2024-11-05 09:05:00+00:00,美國當地時間11月5日零時剛過，四年一度的美國總統選舉投票正式開始，大陸官媒和主流媒體多半以保守方式報導美選，《央視》今除了報導美國新罕布夏州小鎮迪克斯維爾率先投票消息，大多「引述」美媒報導介紹美選。談及本次美選將如何牽動中美關係與台海局勢？大陸國際關係學者們認為，無論是誰勝選，其對華政策不會有太多「友善」的改變，尤其注意「善變」的川普會以交易形式與中國談判，包括台海局勢，製造更高的新關稅等激烈手段。,https://www.ettoday.net/news/20241105/2849057.htm,2011 ETtoday.net. All Rights Reserved.,https://www.ettoday.net,11/12/2024 12:18:01,兩岸新聞
news_b0a5ce81677d8b5a94362d88675aa6b1,中東房市崛起！　川普提前布局5年內四處開花,房產雲,2024-10-28 10:26:00+00:00,中東地區不僅握有豐富能源資源，現也成全世界房產市場矚目的焦點，尤其是商業重鎮杜拜；美國前總統、共和黨候選人川普早在10年前提早進場布局，預計未來4至5年內，川普品牌房地產將在中東地區四處湧現。,https://house.ettoday.net/news/2817427,2011 ETtoday.net. All Rights Reserved.,https://www.ettoday.net,11/04/2024 12:19:05,財經新聞
news_04abc35210a0468c72a6b8129d0ebe5c,拜登突退選！　邱毅揭：最後一根稻草是澤倫斯基做了「這件事」,政治新聞,2024-07-22 02:16:00+00:00,美國總統拜登選情吃緊，民主黨撤換聲音越來越明顯，拜登因此於21日正式宣布退出2024總統大選。對此，邱毅於今（22日）表示，拜登從辯論會表現荒腔走板，支持度大跌，至於「最後一根稻草」，就是澤倫斯基與川普，討論「俄烏戰爭」停火事宜。他認為，目前民主黨最有優勢的賀錦麗面對川普，也根本沒有勝算，拜登此時退選，史無前例，陣前換將更是兵家大忌，民主黨是冒了大風險。,https://www.ettoday.net/news/20240722/2781956.htm,2011 ETtoday.net. All Rights Reserved.,https://www.ettoday.net,07/29/2024 12:19:18,政治新聞
news_7fa87d9e00796f0db89d3c85189f9dab,台中男想娶老婆！花4.9萬作法「完全沒用」　怒提告命理師,社會新聞,2024-11-06 15:44:00+00:00,台中一名黃姓男子日前到一處命相館，詢問命理師今生今世是否有能娶到老婆的命？對方表示「沒有」，於是黃男就花費4.9萬做法。後續黃男發覺法事完全沒用，一氣之下將命理師告上法院，要求退費，最終法官認為，法事是否真有無幫助，無法以科學驗證，難憑此認定被告有詐欺侵權行為，駁回黃男的告訴。,https://www.ettoday.net/news/20241106/2850030.htm,2011 ETtoday.net. All Rights Reserved.,https://www.ettoday.net,11/13/2024 12:19:46,社會新聞
