識別碼,新聞標題,新聞分類,發布日期,新聞前言,新聞連結,來源媒體,來源媒體連結,資料更新時間
news_c642d777b1549cb5c35293cfff906d2e,輕熟女稱「草蜢」蔡一傑來借錢 警苦勸阻：人家還遇到川普咧,社會新聞,2024-09-25T03:03:30Z,台中市34歲徐姓女子23日接獲自稱香港知名唱跳組合「草蜢舞團」成員「蔡一傑」的臉書訊息，以投資名義借款4萬元，想到心儀歌手開口，徐女立即飛奔至銀行準備匯款，卻被銀行員報警攔阻；...…,https://news.ltn.com.tw/news/society/breakingnews/4810301,自由時報,https://news.ltn.com.tw/list/breakingnews/society,10/02/2024 12:22:33
news_7fa87d9e00796f0db89d3c85189f9dab,台中男想娶老婆！花4.9萬作法「完全沒用」　怒提告命理師,社會新聞,2024-11-06T15:44:00Z,台中一名黃姓男子日前到一處命相館，詢問命理師今生今世是否有能娶到老婆的命？對方表示「沒有」，於是黃男就花費4.9萬做法。後續黃男發覺法事完全沒用，一氣之下將命理師告上法院，要求退費，最終法官認為，法事是否真有無幫助，無法以科學驗證，難憑此認定被告有詐欺侵權行為，駁回黃男的告訴。,https://www.ettoday.net/news/20241106/2850030.htm,2011 ETtoday.net. All Rights Reserved.,https://www.ettoday.net,11/13/2024 12:19:46
news_2adf0f426b50b15134d9e7622888ce7f,角頭「鴨頭」曾與仇家長槍互轟 還捲入大毒梟林孝道運毒案,社會新聞,2024-08-15T14:54:36Z,37歲屏東崁頂角頭、綽號「鴨頭」的男子陳昫豪今天在高雄遭當街槍殺，他屬地方年輕一代勢力，近年透過當鋪生意快速崛起，發跡過程與槍十分密切，甚至曾捲入南部大毒梟林孝道運毒案。而他的...…,https://news.ltn.com.tw/news/society/breakingnews/4770411,自由時報,https://news.ltn.com.tw/list/breakingnews/society,08/22/2024 12:17:43
news_71a8ec8e7334aec4071869524bcd05cd,角頭「鴨頭」被槍殺！　警疑幕後指使者是他,社會新聞,2024-08-15T22:42:00Z,屏東角頭「鴨頭」陳昫豪遭槍殺，引起討論。槍手投案宣稱是有50萬的債務糾紛，不過警方認為不單純深入調查中。根據了解，「鴨頭」曾與仇家以AR-15改造長槍互轟，值得注意的是，雙方作案槍枝正與刺殺川普的步槍同款。,https://www.ettoday.net/news/20240816/2798389.htm,2011 ETtoday.net. All Rights Reserved.,https://www.ettoday.net,08/23/2024 12:20:11
news_6a6010d5377c27b72277049698600338,遭爆是柯文哲「募款大臣」　邱佩琳否認：只在柯開口請求才幫忙,社會新聞,2024-10-21T22:21:00Z,知情人士指出，柯文哲曾多次向邱佩琳喊窮，要她幫忙募款給民眾黨，邱也因此向多名企業家以「民眾黨窮」為由募款，除了女企業家及謝國樑媽媽的各200萬元現金由她經手，被登載在檔案中的林命群，也是直接拿一包現金200萬捐給民眾黨。,https://www.ettoday.net/news/20241022/2839582.htm,2011 ETtoday.net. All Rights Reserved.,https://www.ettoday.net,10/29/2024 12:20:55
