識別碼,新聞標題,新聞分類,發布日期,新聞前言,新聞連結,來源媒體,來源媒體連結,資料更新時間
news_7b52a65504679aa84f639ce886c4fc50,國會擴權法案釋憲8/6言詞辯論 黃國昌：早就準備好了！,地方新聞,2024-07-30T15:06:52Z,民眾黨新北市黨部主委、市議員陳世軒今（30）晚在直播節目「蝦會事，蝦場瞧」第2集，與「釣友」來賓、立法委員黃國昌談及國會擴權修法釋憲案，被問到對於8月6日登場的憲法法庭言詞辯論...…,https://news.ltn.com.tw/news/Taipei/breakingnews/4753736,自由時報,https://news.ltn.com.tw/list/breakingnews/local,08/06/2024 12:18:07
news_fcafb0b9a3a0b8e6ed2011f502dd52ca,角頭「鴨頭」曾與仇家長槍互轟 還捲入大毒梟林孝道運毒案,地方新聞,2024-08-15T14:54:36Z,37歲屏東崁頂角頭、綽號「鴨頭」的男子陳昫豪今天在高雄遭當街槍殺，他屬地方年輕一代勢力，近年透過當鋪生意快速崛起，發跡過程與槍十分密切，甚至曾捲入南部大毒梟林孝道運毒案。而他的...…,https://news.ltn.com.tw/news/Pingtung/breakingnews/4770411,自由時報,https://news.ltn.com.tw/list/breakingnews/local,08/22/2024 12:19:53
news_094876879c32fedc1c64fcf003a854fe,與胡佛研究所學者專家閉門會談 朱立倫稱對方關切兩岸、台灣能源,地方新聞,2024-08-17T07:07:56Z,國民黨主席朱立倫於美國舊金山時間16日與史丹佛大學胡佛研究所學者專家舉行閉門會談，會後他接受媒體訪問表示，美方學者除了關注兩岸關係，也關切台灣的能源安全問題，雙方還就美國總統大...…,https://news.ltn.com.tw/news/Taipei/breakingnews/4771937,自由時報,https://news.ltn.com.tw/list/breakingnews/local,08/24/2024 12:20:51
news_ab4fb91aaf29c2ba0d112ae9d2a81651,14天狂掃美國23個重要單位 國民黨：明確向美傳達國防外交政策,地方新聞,2024-09-29T03:32:39Z,國民黨代表團昨日結束14天美國訪問行程返台，國民黨國際部主任黃介正今日指出，黨代表團這14天和美國行政部門、國會參眾兩院、重要智庫學者，以及美國總統候選人川普、賀錦麗兩大競選陣...…,https://news.ltn.com.tw/news/Taipei/breakingnews/4814463,自由時報,https://news.ltn.com.tw/list/breakingnews/local,10/06/2024 12:19:32
news_ba812a7d4f2786f4b32d501372e8fbcb,議員質疑淡海輕軌太慢  侯友宜：時速將提至60公里,地方新聞,2024-11-05T13:54:16Z,（中央社記者王鴻國新北5日電）新北市長侯友宜今天針對議員質疑淡海輕軌太慢，應提速因應淡北道路施工的交通黑暗期問題表示，11月中旬開始進行提速測試，預計可達時速60公里。,https://www.cna.com.tw/news/ahel/202411050425.aspx,中央通訊社,https://www.cna.com.tw/list/aloc.aspx,11/12/2024 12:18:10
news_1b337b3e8c6878b045fedfc4f3844dd5,川普指台灣國防支出應占GDP10％ 林憶君：為了選舉的「浮誇語言」,地方新聞,2024-10-02T06:04:27Z,美國共和黨總統候選人川普接受華盛頓郵報專訪，指台灣國防支出不足，台灣軍費應提高到國內生產毛額（GDP）10%。民眾黨籍立院國防外交委員會召委林憶君指出，台灣明年度國防預算首度超...…,https://news.ltn.com.tw/news/Taipei/breakingnews/4818121,自由時報,https://news.ltn.com.tw/list/breakingnews/local,10/09/2024 12:19:48
news_3707eb15fe672ad7b10ad46bd8be3caf,美國大選將登場 卓榮泰：對台美關係健康永續有信心,地方新聞,2024-11-05T04:18:25Z,美國總統大選稍晚即將登場，行政院長卓榮泰今（5）日答詢時表示，美國是民主成熟的國家，對台美關係朝向健康永續穩定地發展有信心有把握，政策上如果有任何轉變，國家也一定會有相應對策。...…,https://news.ltn.com.tw/news/Taipei/breakingnews/4852840,自由時報,https://news.ltn.com.tw/list/breakingnews/local,11/12/2024 12:18:10
news_fe56a6b549474d63b7c36b6d485985b0,美國總統大選登場 學者分析將影響全球氣候談判,地方新聞,2024-11-05T07:43:41Z,美國總統大選於當地時間5日登場，由於下週就是聯合國氣候峰會（COP29），各國都在觀察是否牽動國際氣候財務談判。台灣學者分析，川普若當選，會弱化全球氣候政治多邊談判，但站在美國...…,https://news.ltn.com.tw/news/Taipei/breakingnews/4853062,自由時報,https://news.ltn.com.tw/list/breakingnews/local,11/12/2024 12:18:10
news_221f79f4b772a2fb960e1eaa882a7078,林佳龍：美國不論誰當選總統 依法須確保台海和平穩定,地方新聞,2024-11-05T09:35:25Z,美國總統大選將在當地時間5日開始投票。國民黨立委邱鎮軍今（5）日於立法院院會質詢時，關切美國新任總統對於後續台美關係之議題。對此，外交部長林佳龍強調，美國基於「台灣關係法」及六...…,https://news.ltn.com.tw/news/Taipei/breakingnews/4853422,自由時報,https://news.ltn.com.tw/list/breakingnews/local,11/12/2024 12:18:10
news_454722b34c645c6d03e70cddd88b7113,台中女大生騎車「2分鐘慘吞6罰單」　爸氣到砸毀機車！警方發聲了,地方新聞,2024-11-06T13:01:00Z,台中一名女大生在住家附近騎機車，因為未打方向燈，短短2分鐘被連續檢舉，警方開了6張罰單，每張1200元共罰7200元，家長一氣之下竟把機車砸毀，以免女兒又違規。對此市議員江和樹認為，違規不對，但非以檢舉之名行報復之時，根本是惡意檢舉，警方也做出回應了。,https://www.ettoday.net/news/20241106/2849989.htm,2011 ETtoday.net. All Rights Reserved.,https://www.ettoday.net,11/13/2024 12:19:02
news_6f39376f3f84538c13d6b9f340df4e86,美大選川普暫領先 侯友宜：不論誰當選都影響國際情勢,地方新聞,2024-11-06T02:08:23Z,美國總統大選登場，共和黨籍候選人川普暫時領先民主黨籍候選人賀錦麗。對此，新北市長侯友宜今天表示，不管兩黨是誰當選，都會引起全球關注，美國大選一定會影響國際情勢變化，國人必須自立...…,https://news.ltn.com.tw/news/NewTaipei/breakingnews/4853933,自由時報,https://news.ltn.com.tw/list/breakingnews/local,11/13/2024 12:19:02
news_2b88172d4cbfad89893f14baf5a84aea,美大選結果將出爐 朱立倫指派夏立言、黃介正後天訪華府,地方新聞,2024-11-06T06:59:23Z,美國總統大選正在進行開票中，國民黨主席朱立倫今日下午主持中常會發表談話指出，目前開票情況是前美國總統川普領先態勢，可能稍後就會發表勝選演說，他強調國民黨對於開票結果一方面要...…,https://news.ltn.com.tw/news/Taipei/breakingnews/4854328,自由時報,https://news.ltn.com.tw/list/breakingnews/local,11/13/2024 12:19:02
news_5578a7bf1cd26f6a93b8587cf78c3e15,川普再次當選美國總統  朱立倫發文祝賀,地方新聞,2024-11-06T08:05:59Z,國民黨主席朱立倫今日下午在臉書發文祝賀前美國總統川普再次當選總統，並強調國民黨長期以來與美國朝野政黨保持密切關係，國民黨黨駐美代表處也與美國行政部門、國會、以及各重要智庫建立良...…,https://news.ltn.com.tw/news/Taipei/breakingnews/4854438,自由時報,https://news.ltn.com.tw/list/breakingnews/local,11/13/2024 12:19:02
news_12c34e73e39524b0307a03d764e3841d,川普當選美國總統 行政院：持續強化各項合作,地方新聞,2024-11-06T12:55:55Z,"美國第47任總統、副總統由美國共和黨總統候選人川普、副總統候選人范斯當選，行政院發言人李慧芝表示，政府會持續強化各項合作，與具有共同民主價值理念的美國政府，共同深化台美關係。
...…",https://news.ltn.com.tw/news/Taipei/breakingnews/4854910,自由時報,https://news.ltn.com.tw/list/breakingnews/local,11/13/2024 12:19:02
news_9ca5d38c20355ebc7e4c7b8a1de5c098,分析川普回鍋「這些問題」影響台灣 江啟臣籲中央趕快準備,地方新聞,2024-11-06T14:24:08Z,川普揮別4年前連任失敗的陰霾，再度當選美國總統。立法院副院長江啟臣說，美中競爭關係，美國的一中政策都不會改變，倒是川普對外如烏俄戰爭及國內政策處理上對台灣的「間接影響」，例如是...…,https://news.ltn.com.tw/news/Taipei/breakingnews/4854971,自由時報,https://news.ltn.com.tw/list/breakingnews/local,11/13/2024 12:19:02
news_6b0cfb39269a42a5b95405575a6d09a0,支持查驗身分！馬斯克轉發台灣大選開票片 狂吸2千多萬人觀看,地方新聞,2024-10-24T15:13:56Z,"劉晉仁／核稿編輯
美國總統大選11月5日登場，全球高度關注現任副總統賀錦麗（民主黨）和前總統川普（共和黨）的對決。而投票前是否該查驗選民身分證件，也成為美國社會爭論焦點，力挺川普...…",https://news.ltn.com.tw/news/Kinmen/breakingnews/4841392,自由時報,https://news.ltn.com.tw/list/breakingnews/local,10/31/2024 12:19:34
