識別碼,新聞標題,新聞分類,發布日期,新聞前言,新聞連結,來源媒體,來源媒體連結,資料更新時間
news_b840ec6650fd6faa6916b976988c56c5,前國安顧問剖析川普外交 與中競爭翻轉局勢卻易動搖,國際焦點,2024-08-28T04:42:26Z,（中央社記者張欣瑜舊金山26日專電）美國前國安顧問麥馬斯特撰文剖析川普任內外交政策，指出他一改過去與中國接觸政策、做出艱難決定，但當政治基礎遭遇挑戰後卻動搖。川普也要盟友為集體安全支付費用，卻因懷疑損害關係。,https://www.cna.com.tw/news/aopl/202408280103.aspx,中央通訊社,https://www.cna.com.tw/list/aopl.aspx,09/04/2024 12:19:23
news_f77698484e65d077f277ed95f99733b9,傳競選人員與公墓官員肢體衝突 川普陣營駁斥,國際焦點,2024-08-28T06:43:28Z,（中央社華盛頓27日綜合外電報導）美國全國公共電台（NPR）今天報導，共和黨總統候選人川普本週到阿靈頓國家公墓時，他的競選團隊兩名成員曾與公墓官員發生「口角和肢體衝突」，但川普陣營駁斥此事。,https://www.cna.com.tw/news/aopl/202408280160.aspx,中央通訊社,https://www.cna.com.tw/list/aopl.aspx,09/04/2024 12:19:23
news_728a22fa44dcaa86f38be2c560edad11,賀錦麗聲勢漲 川普攻經濟與犯罪議題民調領先幅度漸小,國際焦點,2024-08-28T06:53:45Z,（中央社華盛頓27日綜合外電報導）根據路透社/益普索公布的最新民調，川普在經濟與犯罪議題上領先賀錦麗的優勢正逐漸削弱，反映民主黨籍副總統賀錦麗在11月5日大選前聲勢一路看漲。,https://www.cna.com.tw/news/aopl/202408280168.aspx,中央通訊社,https://www.cna.com.tw/list/aopl.aspx,09/04/2024 12:19:23
news_fdadf634862d183182b092b95a21036c,民主黨上演「宮鬥劇」？ 美媒曝賀錦麗團隊「茶壺內風暴」,國際新聞,2024-08-13T07:21:17Z,美國自由派政治新聞網站《Politico》12日報導，隨著美國總統大選進入白熱化階段，副總統賀錦麗（Kamala Harris）的競選團隊卻面臨著一場內部的風暴，來自總統拜登團...…,https://news.ltn.com.tw/news/world/breakingnews/4767515,自由時報,https://news.ltn.com.tw/list/breakingnews/world,08/20/2024 12:20:13
news_f3ac4e8eccae4e0fa99395440f66f942,疑似范斯扮女裝舊照網路瘋傳 發言人未否認未評論,國際新聞,2024-08-13T09:00:23Z,美國《新聞週刊》（Newsweek）12日報導，美國共和黨副總統候選人、俄亥俄州聯邦參議員范斯（J.D. Vance）一張疑似穿著女裝的照片在社群媒體上瘋傳，引發網友熱烈討論。...…,https://news.ltn.com.tw/news/world/breakingnews/4767572,自由時報,https://news.ltn.com.tw/list/breakingnews/world,08/20/2024 12:20:13
news_9ac7afa52d81212cff8823089c6eefd9,賀錦麗能跟習近平談判嗎？ 川普示警：中國核武將超越美國,國際新聞,2024-08-13T11:01:58Z,前美國總統川普（Donald Trump）12日在X平台上與特斯拉（Tesla）執行長馬斯克（Elon Musk）的直播對話中，表達希望與中、俄領袖維持良好關係，但也憂心中國核...…,https://news.ltn.com.tw/news/world/breakingnews/4767829,自由時報,https://news.ltn.com.tw/list/breakingnews/world,08/20/2024 12:20:13
news_78c9092da5dbdfddea5e54ad7b166360,家人倒戈！　賀錦麗副手華茲家族「穿川普上衣」表態力挺,國際新聞,2024-09-12T04:42:00Z,美國流行音樂天后泰勒絲（Taylor Swift）在10日晚間辯論後發文力挺民主黨候選人賀錦麗，吸引超過950萬人按讚響應。不過，儘管川普辯論表現不佳，但他仍獲得「重要人士」的支持，那就是賀錦麗副手、明尼蘇達州州長華茲（Tim walz）的堂哥一家人。,https://www.ettoday.net/news/20240912/2815544.htm,2011 ETtoday.net. All Rights Reserved.,https://www.ettoday.net,09/19/2024 12:20:41
news_1c7fcfde141365477a26342b3f89e6c2,防國會山莊暴動重演　美2024大選認證工作升級為「特殊安全事件」,國際新聞,2024-09-12T09:44:00Z,美國11月5日舉行總統大選，國會預計隔年1月6日認證結果。聯邦政府宣布，為避免2021年川普支持者衝入國會山莊的暴動事件重演，2025年參眾兩院聯席會議維安工作將升級。,https://www.ettoday.net/news/20240912/2815946.htm,2011 ETtoday.net. All Rights Reserved.,https://www.ettoday.net,09/19/2024 12:20:41
news_007f43274e970d4a4cb48d2a76dd72a9,川普馬斯克兩大巨頭對談 吸引超過百萬人收聽,國際新聞,2024-08-14T03:40:36Z,"黃其豪／核稿編輯
在12日的社群平台X上，全球首富馬斯克（Elon Musk）與前美國總統川普（Donald Trump）展開了備受關注的對談。

綜合媒體報導，儘管原定為美...…",https://news.ltn.com.tw/news/world/breakingnews/4768352,自由時報,https://news.ltn.com.tw/list/breakingnews/world,08/21/2024 12:23:29
news_4cfa7896262b0d615453db0145aaf5d3,川普：27日將會晤烏克蘭總統澤倫斯基,國際新聞,2024-09-27T02:02:22Z,"美國共和黨總統候選人川普表示，明天他將在紐約會見烏克蘭總統澤倫斯基（Volodymyr Zelenskyy）。川普昨天才猛烈抨擊這位烏克蘭領導人拒絕與俄羅斯就戰爭問題達成協議。

   ...…",https://news.ltn.com.tw/news/world/breakingnews/4812534,自由時報,https://news.ltn.com.tw/list/breakingnews/world,10/04/2024 12:23:15
